corridor,locality,bhk,sqft,bathrooms,floor,parking,gym,swimming_pool,garden,security,clubhouse,amenities_score,price_lakhs
dehu_solapur,Hadapsar,3,1209,2,21,0,1,1,1,0,0,3,93.29
kolhapur_nashik,Chakan,1,470,1,10,1,0,1,1,1,1,5,26.86
dehu_solapur,Wakad,3,1708,2,20,0,1,1,0,0,0,2,147.34
kolhapur_nashik,Alandi,4,2639,3,7,0,0,0,1,1,1,3,134.93
kolhapur_nashik,Chakan,1,687,1,22,0,1,1,1,0,0,3,32.07
dehu_solapur,Ravet,3,1318,2,4,0,0,1,1,1,0,3,90.86
kolhapur_nashik,Sinhagad Road,3,1263,3,16,1,1,1,0,1,0,4,102.05
dehu_solapur,Kiwale,3,1675,2,10,1,1,0,1,1,1,5,107.32
dehu_solapur,Wakad,1,520,1,18,0,0,1,0,0,0,1,46.57
kolhapur_nashik,Chakan,4,2193,4,11,1,1,0,1,1,0,4,143.07
dehu_solapur,Kiwale,2,868,1,22,0,0,1,0,1,1,3,67.62
kolhapur_nashik,Moshi,3,1185,2,15,0,0,0,1,1,0,2,62.89
kolhapur_nashik,Bhosari,3,1594,3,1,1,0,1,1,0,1,4,98.7
kolhapur_nashik,Khed Shivapur,3,1514,2,23,1,1,1,0,0,1,4,101.91
dehu_solapur,Manjri,1,479,1,5,1,1,1,1,0,1,5,32.36
dehu_solapur,Wakad,3,1693,2,18,1,0,1,1,1,1,5,181.89
kolhapur_nashik,Alandi,2,1064,1,3,1,0,1,1,1,0,4,66.04
dehu_solapur,Dehu Road,2,1096,1,14,1,0,1,0,0,1,3,63.33
dehu_solapur,Dehu Road,3,1188,2,12,0,0,0,1,0,1,2,53.8
dehu_solapur,Baner,2,816,2,6,0,0,0,1,1,1,3,77.59
kolhapur_nashik,Khed Shivapur,4,1850,3,23,1,1,1,1,0,1,5,123.08
dehu_solapur,Hadapsar,1,507,1,19,0,1,1,1,0,1,4,45.56
kolhapur_nashik,Alandi,3,1239,3,20,1,1,1,0,0,1,4,67.14
kolhapur_nashik,Hinjewadi,2,877,1,6,0,1,0,1,1,1,4,95.12
kolhapur_nashik,Bhosari,2,1121,1,9,1,0,0,0,1,1,3,85.77
dehu_solapur,Loni Kalbhor,1,555,1,18,0,1,1,1,1,0,4,29.57
kolhapur_nashik,Bhosari,2,961,2,8,1,0,1,1,1,1,5,56.21
kolhapur_nashik,Moshi,3,1323,3,4,0,1,1,1,0,0,3,89.82
dehu_solapur,Loni Kalbhor,2,1014,2,19,0,1,0,1,0,1,3,71.67
dehu_solapur,Loni Kalbhor,3,1228,2,5,0,0,1,0,1,0,2,63.6
kolhapur_nashik,Sinhagad Road,2,945,2,22,1,0,1,1,0,1,4,87.68
dehu_solapur,Uruli Kanchan,3,1725,2,10,0,0,1,1,0,0,2,80.29
dehu_solapur,Dehu Road,2,969,2,1,1,1,0,0,0,1,3,56.21
kolhapur_nashik,Hinjewadi,1,510,1,2,0,1,1,0,1,0,3,50.15
kolhapur_nashik,Khed Shivapur,2,788,1,20,1,1,0,0,0,0,2,53.23
dehu_solapur,Dehu Road,3,1119,2,3,1,1,1,0,1,1,5,52.64
kolhapur_nashik,Bhosari,3,1387,3,13,0,0,0,1,0,0,1,93.21
dehu_solapur,Wakad,1,579,1,7,1,1,1,1,0,1,5,66.27
kolhapur_nashik,Hinjewadi,4,1878,3,8,1,1,0,0,1,0,3,147.43
dehu_solapur,Kiwale,3,1179,2,2,1,0,1,1,0,1,4,76.7
kolhapur_nashik,Bhosari,3,1443,2,18,0,1,0,0,0,0,1,85.07
dehu_solapur,Hadapsar,3,1362,2,0,1,1,0,1,1,0,4,88.13
dehu_solapur,Uruli Kanchan,2,986,1,2,1,0,1,1,1,1,5,53.79
kolhapur_nashik,Bhosari,2,880,1,23,1,0,0,1,0,1,3,66.45
dehu_solapur,Loni Kalbhor,2,939,2,7,0,0,0,1,0,0,1,46.72
dehu_solapur,Manjri,1,519,1,3,1,1,1,1,1,0,5,39.07
kolhapur_nashik,Khed Shivapur,3,1369,3,10,0,1,1,1,1,1,5,100.71
kolhapur_nashik,Hinjewadi,2,746,1,22,1,1,1,1,1,0,5,72.42
kolhapur_nashik,Sinhagad Road,2,1001,1,22,1,0,0,1,1,1,4,104.75
dehu_solapur,Uruli Kanchan,1,596,1,1,1,1,1,0,1,1,5,23.57
kolhapur_nashik,Hinjewadi,2,930,1,10,1,0,0,1,1,0,3,99.71
dehu_solapur,Baner,2,953,1,3,1,1,0,1,1,1,5,97.78
dehu_solapur,Baner,4,1805,3,2,0,0,0,0,1,0,1,127.42
dehu_solapur,Wakad,4,2758,3,21,1,0,1,0,0,1,3,229.55
dehu_solapur,Manjri,2,960,1,23,0,1,0,1,0,0,2,54.63
kolhapur_nashik,Hinjewadi,2,894,1,4,1,1,0,0,0,1,3,78.68
kolhapur_nashik,Balewadi,2,983,2,11,0,0,1,1,0,1,3,92.79
kolhapur_nashik,Bhosari,3,1443,2,18,0,0,0,1,0,0,1,71.3
dehu_solapur,Uruli Kanchan,1,557,1,12,1,0,0,1,0,1,3,35.36
kolhapur_nashik,Alandi,3,1414,2,20,1,0,1,1,0,1,4,88.09
dehu_solapur,Dehu Road,2,1052,1,0,1,1,0,0,0,0,2,53.0
dehu_solapur,Kiwale,1,418,1,5,1,1,0,0,0,1,3,21.82
kolhapur_nashik,Balewadi,3,1460,2,1,0,0,1,0,1,1,3,134.87
dehu_solapur,Manjri,2,1026,1,12,0,1,0,1,0,1,3,67.64
kolhapur_nashik,Balewadi,3,1167,2,13,1,1,1,1,1,1,6,134.7
dehu_solapur,Kiwale,1,508,1,11,1,1,1,0,0,0,3,33.76
dehu_solapur,Hadapsar,2,1058,1,10,0,1,1,0,1,0,3,88.59
dehu_solapur,Loni Kalbhor,4,2166,3,0,0,0,0,1,1,0,2,99.84
dehu_solapur,Wakad,3,1250,2,8,1,0,0,1,1,0,3,79.56
dehu_solapur,Kiwale,3,1348,2,12,1,0,1,0,0,0,2,89.9
dehu_solapur,Uruli Kanchan,1,610,1,6,1,0,0,1,0,1,3,28.32
dehu_solapur,Uruli Kanchan,3,1441,3,20,0,1,0,0,0,0,1,84.08
dehu_solapur,Uruli Kanchan,4,2031,3,5,0,1,1,1,1,0,4,93.66
dehu_solapur,Uruli Kanchan,1,628,1,6,1,1,1,1,0,0,4,30.11
kolhapur_nashik,Alandi,2,979,1,3,0,0,0,0,1,1,2,60.97
kolhapur_nashik,Moshi,3,1403,3,21,1,1,1,1,0,0,4,83.93
kolhapur_nashik,Alandi,4,2161,4,10,1,1,0,1,1,0,4,118.78
dehu_solapur,Baner,2,747,2,14,1,0,0,0,0,0,1,62.79
dehu_solapur,Ravet,2,972,1,7,1,1,0,0,0,0,2,68.18
dehu_solapur,Uruli Kanchan,4,1973,3,5,1,0,0,0,0,1,2,88.75
kolhapur_nashik,Moshi,2,800,1,6,0,0,0,0,0,0,0,43.89
kolhapur_nashik,Moshi,3,1274,2,22,0,1,1,1,1,0,4,68.5
dehu_solapur,Kiwale,4,1938,3,6,1,1,0,0,0,0,2,125.14
dehu_solapur,Wakad,3,1602,2,25,0,0,1,0,0,1,2,133.35
dehu_solapur,Loni Kalbhor,3,1527,3,11,0,1,1,0,0,0,2,92.4
dehu_solapur,Kiwale,2,799,1,15,0,1,1,1,0,1,4,57.57
kolhapur_nashik,Chakan,3,1333,2,23,1,0,1,1,1,1,5,78.79
kolhapur_nashik,Khed Shivapur,1,605,1,4,0,1,1,1,1,0,4,28.75
kolhapur_nashik,Khed Shivapur,3,1236,3,17,0,0,1,1,1,1,4,80.0
kolhapur_nashik,Alandi,3,1415,2,1,0,0,0,1,1,0,2,71.45
kolhapur_nashik,Bhosari,3,1220,3,18,1,0,0,0,0,1,2,84.51
kolhapur_nashik,Bhosari,2,905,2,19,1,1,0,0,1,1,4,58.95
dehu_solapur,Wakad,2,714,1,10,0,1,0,0,1,1,3,71.08
kolhapur_nashik,Khed Shivapur,2,736,2,5,1,0,0,0,1,0,2,41.28
kolhapur_nashik,Sinhagad Road,3,1581,3,24,0,1,0,1,0,0,2,131.36
dehu_solapur,Baner,2,767,1,13,0,1,1,1,1,0,4,86.8
kolhapur_nashik,Moshi,3,1392,2,22,1,0,1,1,1,1,5,76.5
kolhapur_nashik,Chakan,4,1765,3,16,1,1,1,1,1,1,6,110.54
kolhapur_nashik,Hinjewadi,3,1168,3,14,0,1,1,0,0,0,2,127.81
kolhapur_nashik,Khed Shivapur,2,1208,1,21,0,1,0,0,1,1,3,62.11
kolhapur_nashik,Khed Shivapur,2,1134,1,9,1,0,1,0,0,1,3,67.79
dehu_solapur,Baner,4,1700,3,26,0,1,1,0,0,1,3,159.19
dehu_solapur,Manjri,1,571,1,19,1,1,1,1,1,1,6,48.84
kolhapur_nashik,Hinjewadi,3,1133,2,5,1,1,1,0,1,1,5,99.82
dehu_solapur,Hadapsar,3,1264,3,16,0,0,0,1,0,1,2,111.37
kolhapur_nashik,Alandi,2,1014,2,17,0,1,1,1,1,1,5,61.38
kolhapur_nashik,Moshi,2,867,1,13,1,1,0,1,1,0,4,57.91
dehu_solapur,Wakad,2,819,2,9,1,1,1,0,0,1,4,65.7
dehu_solapur,Manjri,2,786,1,20,0,1,0,1,1,0,3,54.23
dehu_solapur,Uruli Kanchan,1,520,1,22,1,0,1,1,1,1,5,24.42
dehu_solapur,Hadapsar,2,1060,2,16,1,0,0,1,0,0,2,83.61
dehu_solapur,Manjri,1,439,1,14,0,0,0,1,0,0,1,26.41
kolhapur_nashik,Chakan,2,1156,1,12,0,0,1,1,0,1,3,56.78
kolhapur_nashik,Moshi,1,609,1,16,0,0,0,0,0,1,1,38.95
kolhapur_nashik,Alandi,1,579,1,8,1,0,0,0,1,1,3,34.06
dehu_solapur,Kiwale,2,910,2,7,1,1,1,1,1,1,6,62.96
kolhapur_nashik,Khed Shivapur,1,587,1,1,1,0,1,0,1,1,4,35.58
kolhapur_nashik,Moshi,2,1161,2,10,0,1,0,0,1,0,2,65.84
dehu_solapur,Baner,2,880,2,6,0,0,1,1,0,1,3,80.42
dehu_solapur,Dehu Road,2,798,2,3,0,1,0,1,1,0,3,57.8
dehu_solapur,Kiwale,2,738,2,9,1,1,1,0,1,0,4,54.4
dehu_solapur,Hadapsar,2,1108,1,0,1,0,1,1,0,0,3,93.22
kolhapur_nashik,Alandi,1,654,1,4,0,1,1,1,1,1,5,41.63
kolhapur_nashik,Khed Shivapur,3,1340,2,6,0,0,0,1,0,1,2,87.06
kolhapur_nashik,Sinhagad Road,1,485,1,2,1,1,1,0,0,0,3,40.04
dehu_solapur,Baner,2,1110,2,22,0,0,1,0,0,1,2,119.44
kolhapur_nashik,Hinjewadi,3,1404,2,10,1,1,0,1,1,0,4,138.17
dehu_solapur,Kiwale,3,1512,2,13,1,1,0,0,1,0,3,103.42
kolhapur_nashik,Moshi,4,1780,3,9,0,0,0,1,1,1,3,99.5
kolhapur_nashik,Sinhagad Road,1,591,1,10,1,1,0,0,0,0,2,57.44
kolhapur_nashik,Sinhagad Road,4,2342,3,10,0,1,1,1,1,1,5,226.96
kolhapur_nashik,Bhosari,3,1479,3,20,0,0,1,1,1,0,3,107.69
kolhapur_nashik,Chakan,1,662,1,19,1,1,1,0,0,1,4,44.66
dehu_solapur,Kiwale,2,936,2,2,0,1,1,1,1,1,5,52.63
dehu_solapur,Manjri,2,1020,2,12,1,1,0,1,1,0,4,57.45
kolhapur_nashik,Alandi,2,1131,2,13,1,1,1,0,1,0,4,70.31
dehu_solapur,Kiwale,2,860,1,15,1,0,0,1,1,1,4,64.86
kolhapur_nashik,Sinhagad Road,2,1154,1,11,1,0,1,0,1,1,4,108.64
dehu_solapur,Dehu Road,3,1350,2,18,0,1,0,1,0,0,2,71.13
dehu_solapur,Loni Kalbhor,2,840,1,21,0,1,0,0,0,1,2,45.18
dehu_solapur,Dehu Road,3,1307,2,4,1,0,1,1,0,1,4,77.83
kolhapur_nashik,Chakan,2,996,1,16,1,1,0,0,0,0,2,46.22
dehu_solapur,Uruli Kanchan,3,1645,3,1,0,1,0,0,1,0,2,92.15
kolhapur_nashik,Alandi,2,1239,1,19,1,1,1,1,0,1,5,73.96
dehu_solapur,Kiwale,2,984,2,14,1,0,0,1,0,0,2,56.9
dehu_solapur,Manjri,1,491,1,20,0,0,1,1,1,0,3,39.9
dehu_solapur,Loni Kalbhor,1,561,1,18,1,1,0,0,0,1,3,31.95
kolhapur_nashik,Balewadi,3,1226,2,12,1,0,0,0,0,1,2,110.14
dehu_solapur,Dehu Road,1,531,1,15,0,0,1,1,0,1,3,27.69
kolhapur_nashik,Khed Shivapur,4,1771,4,2,1,1,0,0,1,0,3,116.11
kolhapur_nashik,Sinhagad Road,3,1225,3,3,1,0,1,1,1,1,5,118.18
dehu_solapur,Dehu Road,1,575,1,13,0,1,1,1,1,0,4,36.76
kolhapur_nashik,Sinhagad Road,1,482,1,2,1,0,0,1,1,1,4,44.05
dehu_solapur,Baner,2,1131,2,18,0,1,1,1,1,1,5,125.69
dehu_solapur,Manjri,1,586,1,11,1,1,0,0,1,0,3,42.3
dehu_solapur,Ravet,2,1088,1,21,1,1,1,1,0,1,5,82.49
kolhapur_nashik,Hinjewadi,3,1316,3,20,1,1,0,1,1,0,4,127.38
dehu_solapur,Kiwale,4,2530,3,6,1,1,0,0,0,1,3,168.4
dehu_solapur,Loni Kalbhor,2,704,1,16,0,0,1,0,1,1,3,34.6
dehu_solapur,Loni Kalbhor,2,806,1,1,0,1,1,0,0,1,3,41.86
kolhapur_nashik,Hinjewadi,1,605,1,5,1,0,1,0,0,1,3,60.95
kolhapur_nashik,Bhosari,1,550,1,9,0,1,1,1,0,1,4,42.75
kolhapur_nashik,Chakan,3,1475,2,2,0,1,0,1,0,1,3,94.3
kolhapur_nashik,Khed Shivapur,2,926,2,22,1,1,1,1,0,0,4,63.78
dehu_solapur,Uruli Kanchan,1,489,1,2,0,1,1,1,0,0,3,22.63
kolhapur_nashik,Balewadi,1,537,1,2,1,1,1,0,1,1,5,52.25
kolhapur_nashik,Sinhagad Road,1,669,1,14,1,0,1,1,1,1,5,65.5
dehu_solapur,Loni Kalbhor,2,776,1,15,1,0,0,0,0,1,2,47.21
dehu_solapur,Baner,3,1731,3,22,1,1,1,1,1,0,5,201.74
dehu_solapur,Hadapsar,2,829,1,5,1,0,0,0,0,1,2,61.94
dehu_solapur,Wakad,2,866,2,12,0,1,0,0,0,0,1,84.04
dehu_solapur,Baner,3,1100,2,23,1,0,1,0,0,0,2,93.09
dehu_solapur,Kiwale,2,985,1,0,1,1,0,0,0,0,2,55.1
dehu_solapur,Kiwale,3,1318,2,16,0,0,1,1,1,1,4,92.91
kolhapur_nashik,Khed Shivapur,3,1333,2,21,1,1,1,0,0,1,4,81.54
dehu_solapur,Kiwale,2,1093,2,19,1,0,0,0,1,0,2,71.48
kolhapur_nashik,Chakan,3,1626,2,6,1,1,1,0,1,0,4,78.52
kolhapur_nashik,Balewadi,3,1113,2,3,0,1,1,0,1,0,3,116.37
dehu_solapur,Hadapsar,3,1332,2,12,0,1,1,0,0,1,3,87.62
kolhapur_nashik,Moshi,3,1332,2,20,0,1,1,1,1,0,4,83.78
dehu_solapur,Hadapsar,3,1499,3,21,0,0,1,1,1,1,4,130.15
dehu_solapur,Ravet,3,1100,2,14,1,1,0,0,0,1,3,78.61
dehu_solapur,Wakad,3,1617,2,6,0,1,0,0,1,1,3,122.98
kolhapur_nashik,Bhosari,2,983,2,15,1,1,1,0,0,0,3,56.64
dehu_solapur,Hadapsar,2,1002,1,5,1,1,0,0,0,0,2,77.38
kolhapur_nashik,Chakan,4,2352,4,18,0,1,1,1,0,0,3,149.1
dehu_solapur,Dehu Road,3,1188,2,10,1,0,0,1,0,1,3,70.16
dehu_solapur,Ravet,3,1192,3,13,0,1,1,0,1,0,3,71.09
kolhapur_nashik,Khed Shivapur,2,1011,1,6,1,1,0,1,1,0,4,59.84
kolhapur_nashik,Balewadi,3,1579,3,7,1,0,1,1,1,0,4,156.89
dehu_solapur,Wakad,3,1255,3,15,1,1,1,1,1,0,5,120.89
dehu_solapur,Manjri,3,1223,2,18,1,0,0,0,1,0,2,67.54
dehu_solapur,Kiwale,3,1551,2,11,1,0,0,1,1,1,4,108.53
dehu_solapur,Loni Kalbhor,3,1479,2,22,0,1,0,1,0,1,3,95.53
dehu_solapur,Baner,3,1748,2,20,1,1,0,1,1,1,5,166.53
dehu_solapur,Hadapsar,2,908,2,19,1,1,1,1,1,0,5,81.73
dehu_solapur,Manjri,1,486,1,5,0,0,1,1,1,0,3,23.64
kolhapur_nashik,Khed Shivapur,1,554,1,8,1,1,0,0,1,0,3,29.49
kolhapur_nashik,Moshi,3,1309,3,23,1,1,1,1,1,1,6,100.06
dehu_solapur,Baner,1,589,1,1,1,1,1,0,1,0,4,57.78
dehu_solapur,Hadapsar,3,1476,2,0,1,0,1,0,1,0,3,124.62
kolhapur_nashik,Hinjewadi,1,574,1,7,1,1,1,0,1,0,4,56.16
dehu_solapur,Manjri,3,1348,2,7,1,1,1,1,0,0,4,98.0
